Metric,Value
number_features,45
num_edge_features,11
initial_dim_gcn ,45
edge_dim_feature,11
layers,500-0.5-250-0-100-0-100-50-5
training split ,/home/jbd3qn/Downloads/critical_temp_GCNN/chemprop_splits_csv/training/train_full.csv
validation split ,/home/jbd3qn/Downloads/critical_temp_GCNN/chemprop_splits_csv/validation/val_full.csv
batch_size,10
learning_rate,0.001
number_of_epochs,100
r2_train,0.957077448895271
r_train,0.9815840999747928
mae_train,21.28676254697918
rmse_train,5.4546582791809515
r2_validation,0.9078045196367015
r_validation,0.9569325065549508
mae_validation,28.335069867792544
rmse_validation,6.591346243323904
time_preprocessing,0.0
time_training,40.48049831390381
time_prediction,0.2600044329961141
total_time,1.1849867502848308
weights_file,./model_10_12_III/best_model_weights.pth
