Metric,Value
number_features,45
num_edge_features,11
initial_dim_gcn ,45
edge_dim_feature,11
layers,2000-0-500-0-100-0-1000-100-50
training split ,/home/jbd3qn/Downloads/critical_temp_GCNN/chemprop_splits_csv/training/train_full.csv
validation split ,/home/jbd3qn/Downloads/critical_temp_GCNN/chemprop_splits_csv/validation/val_full.csv
batch_size,10
learning_rate,0.001
number_of_epochs,100
r2_train,0.9715617093064831
r_train,0.9858090152186663
mae_train,16.939327884991755
mse_train,24.218323610055815
time_training,68.65358233451843
r2_validation,0.8896916790109898
r_validation,0.943966960872166
mae_validation,27.56576891280796
mse_validation,47.522313263836445
time_processing(min),0.20362259149551393
time_prediction,0.2127741853396098
total_time,1.5716078162193299
weights_file,./model_11_07_II/best_model_weights.pth
