Metric,Value
number_features,45
num_edge_features,11
initial_dim_gcn ,45
edge_dim_feature,11
layers,2000-0-500-0-100-0-15-1000-100-50
training split ,/home/jbd3qn/Downloads/critical_temp_GCNN/chemprop_splits_csv/training/train_full.csv
validation split ,/home/jbd3qn/Downloads/critical_temp_GCNN/chemprop_splits_csv/validation/val_full.csv
batch_size,10
learning_rate,0.001
number_of_epochs,100
r2_train,0.9436795994552288
r_train,0.9730780899465594
mae_train,18.15332063474127
mse_train,34.08201010034504
time_training,90.94446516036987
r2_validation,0.9072602722598738
r_validation,0.9529606194367887
mae_validation,26.061479418500813
mse_validation,43.57389113314849
time_processing(min),0.20706045627593994
time_prediction,0.13081442912419636
total_time,1.864629367987315
weights_file,./model_11_03_III/best_model_weights.pth
