Metric,Value
number_features,45
num_edge_features,11
initial_dim_gcn ,45
edge_dim_feature,11
training split ,/home/jbd3qn/Downloads/critical_temp_GCNN/chemprop_splits_csv/training/train_full.csv
validation split ,/home/jbd3qn/Downloads/critical_temp_GCNN/chemprop_splits_csv/validation/val_full.csv
batch_size,10
learning_rate,0.0001
number_of_epochs,100
r2_train,0.9034206945865849
r_train,0.9581430508705401
mae_train,31.92780667649061
rmse_train,6.68062641081071
r2_validation,0.8417900786386956
r_validation,0.923975921445155
mae_validation,39.37173966987941
rmse_validation,7.54406022095124
time_preprocessing,0.0
time_training,36.223411083221436
time_prediction,0.19866901636123657
total_time,1.0313407063484192
weights_file,./model_10_12_II/best_model_weights.pth
layers,500-0-250-0-100-0-100-50-5
